2024年IGRC会议：成员日程表（中国大陆与台湾地区）IGRC Conference 2024: Member Schedule (Mainland China and Taiwan),,,,,,,,,,,,,,,,
日期与时间转换 Date and Time Converter,,,,,,,,,,,,,,,,
中国大陆/台湾地区Mainland China/Taiwan,,第一天 Day 1,第一天 Day 1,,第二天 Day 2,第二天 Day 2,,第三天 Day 3,第三天 Day 3,,第四天 Day 4,第四天 Day 4,中国大陆/台湾地区Mainland China/Taiwan,,第五天 Day 5,第五天 Day 5
,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,,Staff Main,成员休息室 · Member Lounge
,,,行政人员问询（前10分钟）               Admin available (First 10 minutes),,Admin posts IE packet,行政人员问询（前10分钟）               Admin available (First 10 minutes),,,行政人员问询（前10分钟）               Admin available (First 10 minutes),,,行政人员问询（前10分钟）               Admin available (First 10 minutes),,,,
,,,成员休息室（行政分组会议室）Member Lounge (Admin Breakout),,,成员休息室（行政分组会议室）Member Lounge (Admin Breakout),,,成员休息室（行政分组会议室）Member Lounge (Admin Breakout),,,成员休息室（行政分组会议室）Member Lounge (Admin Breakout),,,,
11:00,12:00,LSG Team Meeting,Small Study Group 1 (SSG),,Institutional Event Opening,Institutional Event Opening,,,Institutional Event 3 (IE),,LSG Team Meeting,Small Study Group 4,10:45,11:45,Management,Review and Application Group 5
,,Staff LSG Breakout ,小型学习团体 1 (SSG),,机构活动开幕式,机构活动开幕式,,,机构活动 3 (IE),,Staff LSG Breakout ,小型学习团体 4 (SSG),,,Staff Main,回顾与应用团体 5（RAG)
,,Admin ,SSG Room 1,,IE 开幕式 · IE Opening Room,IE 开幕式 · IE Opening Room,,,IE Room 1,,Admin ,SSG Room 1,,,,RAG 1
,,Staff Main,SSG Room 2,,,,,,IE Room 2,,Staff Main,SSG Room 2,,,,RAG 2
,,,SSG Room 3,,,IE Room 1,,,IE Room 3,,,SSG Room 3,,,,RAG 3
,,,SSG Room 4,,,IE Room 2,,,IE Room 4,,,SSG Room 4,,,,RAG 4
,,,SSG Room 5,,,IE Room 3,,,IE Room 5,,,SSG Room 5,,,,RAG 5
,,,,,,IE Room 4,,,IE Room 6,,,,,,,RAG 6
,,,,,,IE Room 5,,,IE Room 7,,,,,,,RAG 7
,,,,,,IE Room 6,,,IE组间会议室 · IE Intergroup Room,,,,,,,
,,,,,,IE Room 7,,,IE管理团队 · IE Management Team,,,,11:45,12:15,Social - 社交,Social - 社交
,,,,,IE管理团队 · IE Management Team,IE管理团队 · IE Management Team,,,IE顾问团队 · IE Consultant Team,,,,,,主会场 · Main Room,主会场 · Main Room
,,,,,IE顾问团队 · IE Consultant Team,IE顾问团队 · IE Consultant Team,,,,,,,12:15,12:30,CIT/Mentors ,END
12:00,12:15,All Staff,休息 · Break,,All Staff,休息 · Break,,All Staff,休息 · Break,,All Staff,休息 · Break,,,Staff CIT Breakout,
,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,Staff Main,成员休息室 · Member Lounge,,,CI/Consultants,
12:15,13:15,Management,Review and Application  Group 1,,Management,Review and Application  Group 1,,Management,Review and Application  Group 1,,Management,Review and Application  Group 1,,,Staff CI Breakout,
,,Staff Main,回顾与应用团体 1（RAG),,Staff Main,回顾与应用团体 1（RAG),,Staff Main,回顾与应用团体 1（RAG),,Staff Main,回顾与应用团体 1（RAG),,,,
,,,RAG 1,,,RAG 1,,,RAG 1,,,RAG 1,,,Other staff break,
,,,RAG 2,,,RAG 2,,,RAG 2,,,RAG 2,12:30,14:30,All Staff,
,,,RAG 3,,,RAG 3,,,RAG 3,,,RAG 3,,,Staff Main,
,,,RAG 4,,,RAG 4,,,RAG 4,,,RAG 4,13:30,14:00,CIT/Jin only,
,,,RAG 5,,,RAG 5,,,RAG 5,,,RAG 5,,,Staff Main Breakout,
,,,RAG 6,,,RAG 6,,,RAG 6,,,RAG 6,,,,
,,,RAG 7,,,RAG 7,,,RAG 7,,,RAG 7,,,,
,,,,,,,,,,,,,,,,
13:15,13:30,CIT/Mentors (Breakout Rooms),,,CIT/Mentors (Breakout Rooms),,,CIT/Mentors (Breakout Rooms),,,CIT/Mentors (Breakout Rooms),,,,,
,,Staff CIT Breakout ,,,Staff CIT Breakout,,,Staff CIT Breakout,,,Staff CIT Breakout,,,,,
,,Staff CI Breakout,,,Staff CI Breakout,,,Staff CI Breakout,,,Staff CI Breakout,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Other staff break,,,Other staff break,,,Other staff break,,,Other staff break,,,,,
13:30,14:30,All Staff ,,,All Staff ,,,All Staff ,,,All Staff ,,,,,
,,Staff Main,,,Staff Main,,,Staff Main,,,Staff Main,,,,,
14:30,15:00,CIT/Jin only,,,CIT/Jin only,,,CIT/Jin only,,,CIT/Jin only,,,,,
,,Staff Main,,,Staff Main,,,Staff Main,,,Staff Main,,,,,
